Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400816,Veľký Báb,Veľký Báb,,,,,,SK0233500046;Báb;SK0233;Nitra,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400830,Báčovce,Báčovce,,,,,,SK0325518425;Hontianske Tesáre;SK0325;Krupina,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400841,Baďan,Baďan,,,,,,SK0322516601;Baďan;SK0322;Banská Štiavnica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400853,Bajč,Bajč,,,,,,SK0231501034;Bajč;SK0231;Komárno,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400865,Bakta,Bakta,,,,,,SK0329514462;Rimavská Sobota;SK0329;Rimavská Sobota,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400877,Banky,Banky,,,,,,SK0227513962;Diviaky nad Nitricou;SK0227;Prievidza,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400891,Bánová,Bánová,,,,,,SK031B517402;Žilina;SK031B;Žilina,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400907,Bánovce nad Bebravou,Bánovce nad Bebravou,,,,,,SK0221542652;Bánovce nad Bebravou;SK0221;Bánovce nad Bebravou,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400919,Bánovce nad Ondavou,Bánovce nad Ondavou,,,,,,SK0427522295;Bánovce nad Ondavou;SK0427;Michalovce,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400921,Banská Bystrica,Banská Bystrica,,,,,,SK0321508438;Banská Bystrica;SK0321;Banská Bystrica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400932,Sásová,Sásová,,,,,,SK0321508438;Banská Bystrica;SK0321;Banská Bystrica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400944,Radvaň,Radvaň,,,,,,SK0321508438;Banská Bystrica;SK0321;Banská Bystrica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400956,Podlavice,Podlavice,,,,,,SK0321508438;Banská Bystrica;SK0321;Banská Bystrica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400968,Kremnička,Kremnička,,,,,,SK0321508438;Banská Bystrica;SK0321;Banská Bystrica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400970,Šalková,Šalková,,,,,,SK0321508438;Banská Bystrica;SK0321;Banská Bystrica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400981,Senica,Senica,,,,,,SK0321508438;Banská Bystrica;SK0321;Banská Bystrica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400993,Kostiviarska,Kostiviarska,,,,,,SK0321508438;Banská Bystrica;SK0321;Banská Bystrica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401006,Banská Hodruša,Banská Hodruša,,,,,,SK032C516759;Hodruša-Hámre;SK032C;Žarnovica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401018,Banská Štiavnica,Banská Štiavnica,,,,,,SK0322516643;Banská Štiavnica;SK0322;Banská Štiavnica,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401020,Malá Bara,Malá Bara,,,,,,SK042B528129;Bara;SK042B;Trebišov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401031,Veľká Bara,Veľká Bara,,,,,,SK042B528129;Bara;SK042B;Trebišov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401055,Bardejov,Bardejov,,,,,,SK0411519006;Bardejov;SK0411;Bardejov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401067,Bardejovská Nová Ves,Bardejovská Nová Ves,,,,,,SK0411519006;Bardejov;SK0411;Bardejov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401081,Bátovce,Bátovce,,,,,,SK0232502057;Bátovce;SK0232;Levice,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401092,Jalakšová,Jalakšová,,,,,,SK0232502057;Bátovce;SK0232;Levice,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401109,Kmeťovce,Kmeťovce,,,,,,SK0232502219;Drženice;SK0232;Levice,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401111,Behynce,Behynce,,,,,,SK0236505714;Veľké Ripňany;SK0236;Topoľčany,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401122,Behynce,Behynce,,,,,,SK0328515612;Tornaľa;SK0328;Revúca,,,,,,2015-07-01,,,ano
